320,5.6546,5.6064,6.3162,6.6736,6.3438,5.6335,6.9308,6.5692,5.8989,7.0425,5.8751,5.6425,6.4439,6.1934,7.0021,6.5251,6.9579,7.1571,7.2565,6.7121,6.9097,6.9362,5.9013,6.1085,5.8217,7.0093,6.9775
340,5.5996,5.5563,6.2692,6.6394,6.2917,5.5789,6.9005,6.535,5.839,7.013,5.8319,5.5873,6.3962,6.1446,6.9573,6.4712,6.922,7.1226,7.2232,6.671,6.878,6.8983,5.849,6.0761,5.7644,6.9783,6.9275
360,5.5448,5.5065,6.2212,6.6053,6.2392,5.5241,6.8701,6.5013,5.7792,6.9831,5.789,5.5325,6.3489,6.0962,6.9125,6.4172,6.8855,7.0886,7.1909,6.6299,6.8466,6.8607,5.7965,6.0438,5.7071,6.9475,6.8769
380,5.4895,5.4574,6.1715,6.5714,6.1865,5.4689,6.8397,6.468,5.7196,6.9528,5.7466,5.4775,6.302,6.0479,6.8678,6.3632,6.8489,7.0556,7.1586,6.5886,6.8154,6.8236,5.7441,6.0116,5.649,6.9171,6.8256
400,5.4336,5.4087,6.1216,6.5376,6.1336,5.4138,6.8095,6.4344,5.6592,6.9225,5.704,5.4229,6.2552,5.9994,6.823,6.3093,6.8132,7.0223,7.1257,6.5471,6.7843,6.7873,5.6917,5.9794,5.5904,6.8864,6.7741
420,5.3772,5.3598,6.0719,6.5041,6.0798,5.3591,6.7797,6.4002,5.5988,6.8923,5.6616,5.3684,6.2078,5.9509,6.7784,6.255,6.7784,6.9883,7.0929,6.5053,6.7533,6.7511,5.6393,5.9473,5.5324,6.8554,6.7228
440,5.3209,5.3111,6.0219,6.4707,6.0248,5.3045,6.7504,6.366,5.5384,6.8624,5.6192,5.314,6.1589,5.9021,6.7337,6.2004,6.7431,6.9542,7.0607,6.4638,6.7226,6.7151,5.5871,5.9156,5.4746,6.8245,6.6713
460,5.2641,5.2632,5.9723,6.4376,5.9697,5.2496,6.7213,6.3325,5.4786,6.8331,5.5767,5.2602,6.1085,5.8532,6.6891,6.1463,6.707,6.9196,7.0287,6.4228,6.6921,6.6792,5.5346,5.8846,5.4169,6.7938,6.6197
480,5.207,5.2164,5.923,6.4047,5.914,5.1949,6.6922,6.2992,5.419,6.8043,5.5345,5.2061,6.0576,5.8044,6.644,6.092,6.6711,6.8852,6.9962,6.3822,6.6618,6.643,5.4822,5.8538,5.3586,6.7633,6.5678
500,5.1498,5.1701,5.8735,6.3719,5.8582,5.1404,6.6634,6.2661,5.3597,6.7759,5.4928,5.1517,6.0077,5.7553,6.5989,6.0382,6.6354,6.8513,6.9634,6.3418,6.6315,6.607,5.43,5.8228,5.3002,6.7328,6.5154
